community,lon,lat,org_name
AGUA FRIA ALTA,-71.376277655233011,-31.501328122429065,Agua Fria Alta (162)
AGUA FRIA BAJA,-71.382734090926022,-31.547794834164183,Agua Fria Baja (164)
ALCONES,-71.545021264231963,-30.795235997317814,Alcones (065)
ALGARROBAL Y DESPENSA,-70.606453721395866,-29.963844577845759,Algarrobal y Despensa (021)
ALGARROBO DE HORNILLOS,-71.505805319040974,-31.158006205160753,Algarrobo de Hornillos (142)
ALHUEMILLA LAS PALMAS,-71.523144748447834,-31.225656758746435,Alhuemilla Las Palmas (143)
ALVAREZ DE VALLE HERMOSO,-71.007777188320176,-31.267911322977803,Alvarez de Valle Hermoso (149)
ANGOSTURA DE GALVEZ,-71.563237314636467,-31.465489867124447,Angostura de Galvez (151)
ATELCURA,-71.311815656004597,-31.578926679186427,Atelcura (171)
ATUHUAICO,-70.933126116001759,-30.837828293842929,Atunhuaico (091)
BAÑADOS DE HUANTA,-70.411606585335221,-29.83091639457124,Bañados de Huanta (005)
BARRAZA,-71.485451853215167,-30.695125283954241,Barraza (064)
BLAS Y BULRREME,-70.999307270312372,-30.511256803247786,Blas y Bulrrene (049)
BUENOS AIRES DE PUNILLA,-71.542712834240618,-30.561935332583882,Buenos Aires de Punilla (060)
CABRA CORRAL,-71.353687104386069,-31.588746897045837,Cabra Corral (168)
CALDERA Y DAMAS,-71.145642032880161,-30.332154861409787,Caldera y Damas (028)
CANELA ALTA,-71.291733640691092,-31.314754040821438,Canela Alta (145)
CANELA BAJA,-71.434361129588069,-31.284459865335482,Canela Baja (144)
CANELILLA CANELA,-71.355782696666878,-31.428207937647759,Canelilla Canela (156)
CANELILLA OVALLE,-71.111669907255461,-30.574985309194492,Canelilla Ovalle (047)
CARCAMO,-70.883769758039776,-30.97616732450135,Carcamo (103)
CARQUINDAÑO,-71.414924464156485,-31.4705528263136,Carquindano (158)
CARRIZAL Y LAGUNA DE SERON,-70.841178394077076,-30.282645913139515,Carrizal y Laguna de Seron (038)
"CARRIZO, MENDOZA Y ROMERO",-70.93629434886563,-30.458377209718851,"Carrizo, Medoza y Romero (051)"
CASTILLO MAL PASO,-71.042114075972577,-30.99358845679366,Castillo Mal Paso y Otros (095)
CERRO BLANCO,-71.395199327800697,-30.886547050956654,Cerro Blanco (078)
CERRO BLANCO Y GIGANTE,-70.692620402352787,-30.320207778202228,Cerro Blanco y Gigante (045)
CERRO GIGANTE,-70.670361120674769,-30.300270654442816,Cerro Gigante (044)
CHACARILLAS,-71.007722178471738,-30.919911850056497,Chacarillas (094)
CHALINGA,-70.911611790393394,-31.712498216532545,Chalinga (176)
CHANCHOQUI,-70.540910935325897,-30.047336575048579,Chanchoqui (024)
CHAPE Y CHACAY,-70.72110163983514,-30.457812553408662,Chape y Chacay (057)
CHELLES,-70.968141035864406,-30.919428605208061,Chelles (096)
CHILECITO Y CHUAPA,-70.830351470536783,-30.749442293323362,Chilecito y Chuapa (113)
COIPO Y CUYUNCAVI,-70.78752464649537,-30.78586398178459,Coipo y Cuyuncavi (114)
COLLIGUAY,-70.733730005878812,-30.836202233632122,Colliguay (118)
CORDILLERA DE CARRIZAL,-70.482442774823312,-31.05874405737395,Cordillera de Carrizal (133)
CUARTO CAJON,-71.457519222877494,-30.902673681679577,Cuarto Cajon (076)
CUESTA EL MANZANO,-71.12898928100654,-30.155785511191311,Cuesta el Manzano (011)
CUZCUZ,-71.230554367088146,-31.633607089015548,Cuzcuz (175)
DAIN Y CORTADERA,-70.870540786636937,-30.360185018685463,Dain y Cortaderilla (036)
DE ARAYA,-70.785536665929499,-30.9712658564256,De Araya (111)
DE ORREGO,-71.104515530766832,-31.269402097122029,De Orrego (146)
DIAZ Y OCARANZA,-71.077762174271854,-31.173229475254129,Diaz y Ocaranza (137)
DOS RIOS,-70.864818035414061,-30.723860719351169,Dos Rios (112)
EL ALMENDRO,-71.385673707476556,-31.451823768700606,El Almendro (157)
EL ALTAR,-71.142873278544315,-30.811198741112808,El Altar (084)
EL ATAJO,-70.642770506037778,-30.243355098846195,El Atajo (041)
EL CHACAY,-71.126735772822698,-29.652760100800304,El Chacay (003)
EL CHIÑE,-71.322299086445682,-31.466953962524119,El Chine (161)
EL CUYANO,-70.798972233977153,-30.940080037593916,El Cuyano (109)
EL DIVISADERO,-71.144373472413847,-30.853319913044963,El Divisadero (085)
EL DURAZNO,-71.438253058576777,-30.710715787893946,El Durazno (067)
EL ESPINAL,-71.415826623627837,-30.734171144327558,El Espinal (068)
EL ESPINAL DE SAN PEDRO,-70.88838205022499,-30.421585686587488,El Espinal de San Pedro (053)
EL ESPINO,-71.053582338961988,-31.333395464854458,El Espino (150)
EL OLIVO,-71.140321458172977,-30.521698793730298,El Olivo (034)
EL PANGUE,-71.428412104257234,-31.537319136212894,El Pangue (159)
EL PEÑON,-70.841745737580936,-30.838275932033529,El Penon (099)
EL PERAL OJO DE AGUA,-71.647089942414965,-30.562574616326497,El Peral Ojo de Agua (058)
EL POTRERO,-71.298620929056938,-31.523027771792037,El Potrero (170)
EL POTRERO DE HUATULAME,-70.938483688004865,-30.865085120074696,El Potrero de Huatulame (092)
EL ROMERAL,-70.815201625011227,-30.511707162392071,El Romeral (056)
EL TOME,-70.992611095714395,-30.805415761047588,El Tome (087)
VALLECITO Y RIO SECO,-70.031429250324706,-29.947541584342201,Estancia Vallecillo y Rio Seco (026)
ESTERO DERECHO,-70.438511036828459,-30.291627684078211,Esterno Derecho (027)
FERNANDEZ ANGEL Y OTROS,-70.83343004388982,-31.181308718748735,Fernandez - Angel y Otros (141)
FERNANDEZ Y VELIZ,-70.934474942912331,-31.156958611691032,Fernandez y Veliz (139)
FERNANDO ALVAREZ,-71.478844232816598,-30.874791578139892,Fernando Alvarez (073)
FLORES Y SAAVEDRA,-70.918846455885159,-31.214841250183831,Flores y Saavedra (140)
FUNDIDA NORTE,-70.834588541917455,-30.367191090423169,Fundida Norte (037)
FUNDIDA SUR,-70.834070854249802,-30.389609231604222,Fundida Sur (055)
GUALLIGUAICA,-70.809390515911531,-29.999764894799522,Gualliguaica (017)
HIGUERITAS UNIDAS,-71.189932820636258,-30.409311803882616,Higueritas Unidas (030)
HUAMPULLA,-70.977926482602371,-30.467082945537751,Huampulla (050)
HUANA,-70.963651811352932,-30.72411917906873,Huana (082)
HUAPILLAS MOLLAQUITAS,-70.684876126264172,-30.251960357532287,Huapi - Las Mollaquitas (040)
HUENTELAUQUEN,-71.540741266234548,-31.55874561985685,Huentelauquen (153)
HUINCHIGUALLEGO,-71.468538780079299,-31.571610992459767,Huinchigallego (155)
INGA PICHASCA,-70.845880212276541,-30.461971472338067,Inca Pichasca (054)
JARA O LAJA,-71.045447919175459,-30.840873509710892,Jara o Laja (088)
JARILLA Y AZOGUE,-71.061367839569229,-30.29943020919886,Jarilla y Azogue (029)
JIMENEZ Y TAPIA,-71.126284810967746,-31.103025870640728,Jimenez y Tapia (136)
LA CALERA,-71.409671391963784,-30.7954784066362,La Calera (069)
LA CAPILLA,-71.337414965287792,-31.573755503721692,La Capilla (169)
LA CEBADA,-71.601462504953062,-30.995029378602137,La Cebada (071)
LA CISTERNA,-70.746087103278626,-30.949228299684087,La Cisterna (123)
LA COIPA,-71.069298934726348,-30.531733763549418,La Coipa (048)
LA COLORADA DE AGUILERA Y SARMIENTO,-71.003160539385121,-31.224967643241211,La Colorada de Aguilera y Sarmiento (148)
LA HERRADURA,-71.364333795772851,-30.016716252466125,La Herradura (007)
LA HOYADA,-70.611232420559958,-30.25996397891614,La Hoyada (042)
LA LEONA,-71.353998531442869,-31.565825243089531,La Leona (167)
LA ORTIGA,-70.647335933068277,-30.78171200406064,La Ortiga (120)
LA PLATA,-70.580865204258075,-29.92123800926565,La Plata (022)
LA POLVADA,-70.848612147079024,-30.00808730489204,La Polvada (016)
LA SAUCERA,-70.94748152329727,-30.995800938854064,La Saucera (102)
LA TRANQUITA,-70.671101070828271,-30.918077676351675,La Tranquita (126)
LA VERDIONA,-71.231209889141951,-30.447407505767114,La Verdiona (031)
LAGUNA VERDE,-70.944419648310756,-30.932522127085168,Laguna Verde (097)
LAGUNILLAS GALLEGUILLOS DEL VALLE,-71.191496745844177,-30.538011944017082,Lagunillas Galleguillos del Valle (033)
LAS BARRANCAS,-71.388082081437815,-31.591977732970673,Las Barracas (166)
LAS BATEAS,-70.939627913249524,-30.955609065282172,Las Bateas (101)
LAS CARDAS,-71.0524476104586,-30.881137666081191,Las Cardas (089)
LAS DAMAS,-71.441546570428983,-30.842162804485294,Las Damas (075)
LAS MINILLAS,-70.891088162275764,-30.472386090526982,Las Minillas (052)
LAS PAREDES,-71.4156180997321,-31.580574426167097,Las Paredes (165)
LAS ROJAS DE CUTUN,-71.016144758705764,-29.943192693716593,Las Rojas Cutun (013)
LAS TAZAS,-71.328197421694,-31.500399266752861,Las Tazas (163)
LAS TRANCAS DE PUCLARO,-70.827988085065968,-29.959908971234487,Las Trancas de Puclaro (015)
LITIPAMPA,-71.243573500684832,-31.056482602481903,Litipampa (135)
LO MUÑOZ,-71.325866972378819,-32.10000657542065,Lo Muñoz (178)
LOS MAITENES DE SERON,-70.708497548122978,-30.34583036429035,Lod Maitenes de Seron (046)
LORENZO ARAYA,-71.485336067933716,-30.897164957959784,Lorenzo Araya (074)
LORENZO PERALTA DE PUNILLA,-71.594820457747815,-30.567516013839878,Lorenzo Peralta de Punilla (059)
LOS ALGODONES,-70.877694908167811,-30.026357789457219,Los Algodones (014)
LOS ANGELES,-70.782588352388601,-30.747536085366555,Los Angeles (115)
LOS CERRILLOS,-71.505031718547272,-32.110755009045405,Los Cerrillos (177)
LOS CHOROS,-71.290315953712053,-29.27440927969192,Los Choros (001)
LOS CLONQUIS,-70.700485406053872,-30.792323085777038,Los Clonquis (119)
LOS HOYOS Y EL EMPEDRADO,-70.556368624890666,-31.071380028657678,Los Hoyos y El Empedrado (132)
LOS LAVADEROS,-70.578905712114889,-30.304038159566275,Los Lavaderos (043)
LOS MAITENES,-70.925943403696508,-30.383200980738003,Los Maitenes (035)
LOS MORALES,-71.052975249928508,-30.916197679172523,Los Morales (090)
LOS MOZOS,-70.846174069462606,-31.007471869663803,Los Mozos (105)
LOS POZOS,-71.473223110821593,-30.849178053047705,Los Pozos (072)
LOS TAPIAS,-70.974213519717637,-30.878250420911598,Los Tapias (093)
LOS TOMES,-71.510584484446611,-31.481887267186892,Los Tomes (152)
LOS TRIGOS,-71.429997490633284,-30.877647547328067,Los Trigos (077)
EL MACANO,-70.771706942855971,-31.031786917374564,Macano (129)
MAJADA BLANCA,-71.308828136844838,-30.051130282280802,Majada Blanca (009)
MANQUEHUA,-71.157660172784247,-30.948926707444365,Manquehua (086)
MAQUI LOS PALQUIS,-70.557081851119719,-31.020608599976683,Maqui Los Palquis (131)
MIALQUI,-70.870413088750922,-30.767151604180079,Mialqui (098)
MINCHA NORTE,-71.444842482270857,-31.581883759778648,Mincha Norte (160)
MINCHA SUR,-71.440693029111998,-31.612644375201938,Mincha Sur (172)
MONTE PATRIA,-70.938922916426677,-30.634870895348037,Monte Patria (081)
MOVILO,-71.002192493129215,-31.115058143482791,Movilo (138)
OLLA DE CALDERA,-70.849559744484495,-29.637537461446019,Olla de Caldera (004)
ORURO,-71.523973157722594,-30.647290005591397,Oruro (062)
PEJERREYES,-70.606515065046452,-31.030443486257674,Pejerreyes (130)
PEÑABLANCA,-71.563829843519116,-30.914875522142825,Penablanca (070)
PIEDRA LISA,-70.785483532349929,-30.960204604741197,Piedra Lisa (110)
PIEDRA LISA O MINA NEGRA,-70.887257470272445,-30.908688919502524,Piedra Lisa o Mina Negra (100)
PIEDRAS BLANCAS,-70.734561772709995,-30.277669266002217,Piedras Blancas (039)
POTRERILLO ALTO,-71.199361599733365,-30.724314997293281,Potrerillos Alto (083)
EL POTRERO ALTO,-70.366909516269843,-29.796325071659361,Potrero Alto (006)
PULPICA ALTO,-70.800127774015252,-30.899263208996135,Pulpica Alto (107)
PULPICA BAJO,-70.780059187678631,-30.858059222364076,Pulpica Bajo (117)
PUNITAQUI,-71.261140484344367,-30.873200647586323,Punitaqui (080)
QUEBRADA DE COLLIGUACITO,-70.696044873909784,-30.892732757379569,Quebrada de Colliguaycito
QUEBRADA DE PAIHUANO Y SAN ANDRES,-70.323416870163072,-30.079420215062498,Quebrada de Paihuano y San Andres (025)
QUEBRADA DE TALCA,-71.069129531299396,-30.078402659733655,Quebrada de Talca (012)
QUEBRADA DE TULAHUEN,-70.709753361920463,-30.970623343947754,Quebrada de Tulahuen (124)
QUEBRADA HONDA,-71.200721173709411,-29.603042036777111,Quebrada Honda (002)
QUEBRADA LA ARENA,-70.751255296631896,-30.897708590033943,Quebrada la Arena (121)
QUEBRADA LAS MINILLAS,-70.655320848492735,-30.882591097532163,Quebrada las Minillas (127)
QUEBRADA LAS MOLLACAS,-70.727084361369165,-30.923139614097231,Quebrada las Mollacas (122)
QUEBRADA LOS LOROS,-70.648804847613093,-30.080923674358026,Quebrada Los Loros (020)
QUITALLACO,-71.290028434555367,-30.162482492166415,Quitallaco (010)
RAMADILLA,-70.615732016850629,-30.890847999323409,Ramadilla (128)
RAPEL,-70.741950589385581,-30.733955241911332,Rapel (116)
RAPELCILLO,-70.828608562697411,-30.960981498312194,Rapelcillo (106)
LA RINCONADA DE PUNITAQUI,-71.348939589795222,-30.841137268549289,Rinconada de Punitaqui (079)
RIO COLORADO,-70.359155600075781,-30.939244605733659,Rio Colorado (134)
ROMERALCILLO,-71.143549815216844,-30.457180816943126,Romeralcillo
SALALA,-71.535257997350882,-30.708098208729368,Salala (063)
SAN ISIDRO,-70.68303236029395,-29.975588474810134,San Isidro (020)
SAN LORENZO,-70.899931672768687,-31.013062995865109,San Lorenzo (104)
SOCOS,-71.474580958304998,-30.763556324798806,Socos (066)
TOTORALILLO,-71.368898404517765,-30.059460523698576,Totoralillo (008)
TUNGA NORTE,-71.320752984240812,-31.630856054537212,Tunga Norte (173)
TUNGA SUR,-71.353836969058918,-31.670853213671208,Tunga Sur (174)
UCHUMI-DIAGUITAS,-70.599490660456254,-30.075515961155162,Uchumi - Diaguitas (019)
VADO HONDO,-70.797336015112776,-30.91839664614869,Vado Hondo (108)
VALDIVIA DE PUNILLA,-71.590444625240835,-30.586701114804374,Valdivia de Punilla (061)
VARILLAR,-70.504904419600422,-29.961709241510462,Varillar (023)
VIVANCO,-71.042812160239592,-31.239798352304064,Vivanco (147)
YERBA LOCA,-71.458984143421176,-31.476297442772395,Yerba Loca (154)